rate,review_text,object_address,cleaned_text,sentiment,pos_info_predicted,neg_info_predicted,neutre_info_predicted,unknown_info_predicted,pos_access_predicted,neg_access_predicted,neutre_access_predicted,unknown_access_predicted,pos_relation_predicted,neg_relation_predicted,neutre_relation_predicted,unknown_relation_predicted,pos_reactivite_predicted,neg_reactivite_predicted,neutre_reactivite_predicted,unknown_reactivite_predicted,pos_simplicite_predicted,neg_simplicite_predicted,neutre_simplicite_predicted,unknown_simplicite_predicted,address
1,Mauvaise expérience avec cette établissement. Et plus en général avec pôle emploi.,"5 Rue de Quimper, 68100 Mulhouse",mauvais expérience établissement général pôle emploi,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,On a un rendez-vous mais on doit attendre encore 40 minutes ses inaccessible .!,"5 Rue de Quimper, 68100 Mulhouse",rendez-vous minute inaccessible,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"5 Rue de Quimper, 68100 Mulhouse"
1,"Bonjour, en ce moment il n'y a pas de Pôle emploi dans cette région","5 Rue de Quimper, 68100 Mulhouse",bonjour moment pôle région,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"5 Rue de Quimper, 68100 Mulhouse"
5,Nouveau bâtiment avec de la place sur le parking a 5 min des arrets de tram,"5 Rue de Quimper, 68100 Mulhouse",bâtiment place parking min arret,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
1,Cette agence a été déplacée rue de Quimper.,"5 Rue de Quimper, 68100 Mulhouse",agence rue,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
5,Ma Future 2eme maison,"5 Rue de Quimper, 68100 Mulhouse",future 2eme maison,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
5,Beautiful,"5 Rue de Quimper, 68100 Mulhouse",beautiful,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
5,La service parfait.,"5 Rue de Quimper, 68100 Mulhouse",service,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"5 Rue de Quimper, 68100 Mulhouse"
4,"Le lieu n'est pas forcément agréable mais les hôtesses et hôtes d'accueil sont très disponibles et serviable, l'espace est grand en open space se qui n'est pas forcément agréable si on ne veut pas que les autres personnes entendent. Le personnel est compétent,j'y suis allé le matin car l'après midi inutile de se déplacer car c'est sur rdv.","7 Rue Jean Fougerat, 16000 Angoulême",lieu agréable hôtesse hôte accueil disponible serviable espace grand open space forcément agréable entendre personnel compétent matin midi inutile rendez-vous,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"7 Rue Jean Fougerat, 16000 Angoulême"
1,Impossible de prendre rendez-vous avec les conseillés via le site. La personne à l'accueil n'est pas conciliante et ne m'a pas permis de ré-imprimer mon papier de PPAE dans les locaux malgré les postes libres mis à disposition. Les documents fournis sur mon compte ont été pris en compte mais pas relier avec mes document à fournir. A mon 1er rendez-vous j'ai attendue 30min pour être prise.  Vraiment nul.,"7 Rue Jean Fougerat, 16000 Angoulême",impossible rendez-vous conseillé site accueil conciliant papier ppae local poste libre disposition document compte compte relier document rendez-vous 30min pris vraiment,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
3,Pas d'une très grande aide mais mon conseillé ( Matthieu Porcheron ) est très agréable et compréhensif,"7 Rue Jean Fougerat, 16000 Angoulême",grand aide conseillé matthieu porcheron agréable compréhensif,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"7 Rue Jean Fougerat, 16000 Angoulême"
1,Toujours bloqué pour la démarche effectué et toujours pas moyen que l'on m'explique même après plusieurs demandes,"7 Rue Jean Fougerat, 16000 Angoulême",démarche moyen demande,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,"Grosse difficultés à contacter les conseillers. J'ai contacté ma conseillère par mail, elle s'est presque moquée de moi en me disant que je devait prendre rdv sur l'interface alors que depuis 2 semaines ça me dit aucune plage horaire disponible avec ce conseiller.  Service à revoir. Vraiment.","7 Rue Jean Fougerat, 16000 Angoulême",gros difficulté conseiller conseiller mail presque moquer interface semaine aucun plage horaire disponible conseiller service vraiment,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
3,L'établissement est jolie avec beaucoup d'espace. Malheureusement avec les travaux actuels il est difficile de trouver une place de parking gratuite. J'ai dû me garer au centre commercial champ de mars à proximité où les places étaient payantes.,"7 Rue Jean Fougerat, 16000 Angoulême",établissement beaucoup espace malheureusement travail actuel difficile place parking gratuit centre commercial champ mars proximité place,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"7 Rue Jean Fougerat, 16000 Angoulême"
5,"Dommage pas de parking à proximité, uniquement dans la rue ou souterrain. Bizarre pour la maison de l'emploi, car payant partout. Bel intérieur clair et propre. Le matin accès libre et l'après-midi sur rendez vous. N'y allez pas si pas de rendez-vous. 2 Personnes vu pour l' info CSP très bien et compétentes.","7 Rue Jean Fougerat, 16000 Angoulême",dommage parking proximité uniquement rue souterrain bizarre maison emploi partout intérieur clair propre matin accès libre après-midi rendez rendez-vous info csp bien compétent,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,"L'informatique est une priorité chez eux mais au détriment de l'être humain..... D'abord on me donne une adresse e-mail invalide puis la personne que j'avais eu au téléphone est devenue injoignable depuis avant hier alors que j'ai besoin de conventions de stage, mon employeur est furax, moi AUSSI! Qualité du service à revoir, l'informatique est mise au détriment de l'être humain je le répète.... Je n'ai plus qu'à chercher un autre stage car c'est trop tard maintenant!!!!!!!","7 Rue Jean Fougerat, 16000 Angoulême",informatique priorité détriment humain ..... adresse e-mail invalide pouvoir téléphone injoignable hier besoin convention stage employeur qualité service informatique détriment humain répèt .... stage trop tard,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,"j'ai eu affaire a une ""conseillère "" odieuse , mme Fronty .... elle n'écoute pas les projets pro, remplis son formulaire informatique et est dénuée d'humanité , pire , elle m'a manqué de respect et s'est comportée comme une ado ( roule des yeux , soupire ....) lorsque j'ai expliqué mes démarches de reconversion. immonde, puérile, et irrespectueuse !  je rédige actuellement une réclamation à sa direction, en espérant qu'ils réagissent !","7 Rue Jean Fougerat, 16000 Angoulême",affaire conseiller odieuse mme fronty .... écout projet pro formulaire informatique humanité pire respect ado roul oeil soupire .... démarche reconversion immonde puérile irrespectueux actuellement réclamation direction,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,"La première étoile est gratuite. L'avis concerne le système global. Une erreur d'indemnisation (c'est d'un compliqué pour régler leur boulette de trop perçus) car le conseiller (R.Gueguen) est injoignable, puis lors d'un déménagement je perd mes droits (bien commode de ne pas informer sur le site qu'il faut se réinscrire quand on change de région), même le site déconne et les horaires de la hotline sont une grosse blague.","7 Rue Jean Fougerat, 16000 Angoulême",étoile avis système global erreur indemnisation compliqué boulette trop conseiller r.gueguen injoignable pouvoir déménagement droit bien commode site change région site déconne horaire hotline gros blagu,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,mpossible de prendre rendez-vous,"7 Rue Jean Fougerat, 16000 Angoulême",mpossibl rendez-vous,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"7 Rue Jean Fougerat, 16000 Angoulême"
1,Quel joie de se faire raccrocher au nez parce qu'il est 16h30 et que le fonctionnaire doit quitter son lieu de travail. Inexcusable !,"7 Rue Jean Fougerat, 16000 Angoulême",joie faire nez 16h30 fonctionnaire lieu travail inexcusable,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"7 Rue Jean Fougerat, 16000 Angoulême"
5,Très bonne accueil Conseillé à l'écoute. Aide pour me faire un CV Agréablement surprise,"7 Rue Jean Fougerat, 16000 Angoulême",bon accueil écoute aide agréablement surprise,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"7 Rue Jean Fougerat, 16000 Angoulême"
1,"Very very useless, unsympathetic people working there. I had an appointment at 9.30am and I went there then the lady who assist me check the system and said that she cannot find my appointment and make the appointment again, or come back at 2.30afternoon. I travelled more than an hour to reached there. It is very unpleasent to hear come back and they do not have time eventhough i had an appointment. i do not recommand anyone to go there who cannot speak french. another thing if you cannot speak french they throw you whatever the reason you go there. very very bad staff working there. I dont think this type of uneducated people should work in this type of helping organisation. Rubbish Rubbish Rubbish","11 Rue Pelée, 75011 Paris",very very useles working there had 9.30am and went ther then the who the and that she cannot find and make the again come 2.30afternoon travelled more than hour reached there hear come and they not hav tim eventhough had not recommand there who cannot french thing you cannot speak french they throw you the reason you there very very bad working ther think thi typ peopl should work thi typ helping organisation rubbish rubbish rubbish,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,Favoritism appears made for the occupant,"11 Rue Pelée, 75011 Paris",favoritism appears for the,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,"Si vous comptez utiliser les moyens informatiques de cette agence, apportez votre chaise car ce n'est pas prévu de s'assoir (sauf l'unique emplacement réservé à un handicapés) et armez vous de patience car les ordinateurs ne sont pas des bêtes de courses (sans parler du débit du réseau pour une simple navigation sur le web comme consulter ses emails)  N'oubliez pas aussi à être formé pour utiliser la solution informatique proposée car non ce n'est pas du windows traditionnel sous active directory avec les outils bureautiques traditionnels.  Dernier détail, pas de réception réseau 4G dans l'agence et aucun Wi-Fi invité avec portail captif pour palier à ce problème pour les demandeurs d'emploi.  Je mets une étoile pour le personnel (qui ne maîtrise pas tout mais sont très patient) aidant les utilisateurs à utiliser ces 'choses' dans ces conditions en permanence debout.","11 Rue Pelée, 75011 Paris",moyen informatique agence chaise unique emplacement handicapé patience ordinateur bête course débit réseau simple navigation web e-mail solution informatique non window traditionnel sou active directory outil bureautique traditionnel dernier détail réception réseau gramme agence aucun portail captif palier problème demandeur emploi étoile personnel utilisateur chose condition permanence,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"11 Rue Pelée, 75011 Paris"
5,"Très bon accueil. Très bon service.👍. Ma conseillère a été à mon écoute , elle a répondu à toutes mes questions, et elle m'a donné de précieux conseils👍. Merci beaucoup à ma conseillère, et à toute l'équipe de pôle emploi 🙏 …","11 Rue Pelée, 75011 Paris",bon accueil bon service. conseiller écoute question précieux conseil beaucoup conseiller équipe pôle emploi,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
4,"Bonjour, Je ne comprends pas les avis négatifs. Perso  j'ai été très bien reçu et ma conseillère m'a donné des conseils très utiles pour le financement de ma formation. Encore merci à Mme Coulibaly pour ses conseils utiles.","11 Rue Pelée, 75011 Paris",bonjour avis négatif perso bien conseiller conseil utile financement formation mme coulibaly conseil utile,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,"Une équipe recruté pour ces compétences en manipulation, tout est fait pour vous pousser à la faute et obtenir le saint graal de la radiation, du coup de téléphone à 1 sonnerie (si vous ne répondez vous recevez un mail vous indiquant être radié pour manquement à vos obligations), à la soit disant non réception de mail ou justificatifs, pareil radiation alors que vous disposez de toutes les preuves d'envoi. Un conseiller qui cherche à vous faire dire ce que vous n'avez pas dit pour vous faire sortir de vos ""obligations"" et donc justifié une radiation.  Heureusement, qu'on paye des cotisations pendants toute notre vie et voila le traitement réservé lors d'un coup dur.","11 Rue Pelée, 75011 Paris",équipe recruter compétence manipulation faute saint graal radiation coup téléphone sonnerie mail manquement obligation non réception mail justificatif pareil radiation preuve envoi conseiller faire faire obligation radiation heureusement cotisation vie traitement coup dur,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,"Le personnelle de cette agence ne prennent pas en compte les demandes d’avance , J’ai fait deux demandes qui son parti a la poubelle Aucune réponse Ma première demande a été envoyé le 18/03 une deuxième à été envoyé le 24/03 aujourd’hui nous somm Le 29/03 on me dit que c’est trop tard que les indemnités seront pour le premier du mois. Je suis extrêmement déçu de vôtre système Vous devriez revoir vos façons de travailler Si j’ai fait une demande d’avance sur allocation ce nes pas pour jouer au billes Je n’es pas demandé à faire la manche .","11 Rue Pelée, 75011 Paris",personnelle agence compte demande avance demande parti poubelle aucun réponse demande 18/03 24/03 aujourd’hui 29/03 trop tard indemnité mois extrêmement déçu système demande avance allocation bille manche,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"11 Rue Pelée, 75011 Paris"
1,On me suspend mon are  ils ont oublié de prendre en compte 4 mois sur les fiche de paye et m'ont donner 35e par jour pdt 1an basé sur un mi temps alors que j'étais à temps plein du coup ils me doivent bcp d'argent et ne se manifeste pas après réclamation je vais depauser plainte au commissariat ! C'est du vol et de l'incompétence totale. En colere,"11 Rue Pelée, 75011 Paris",are compte mois fiche paie jour temps temps plein coup bcp argent réclamation plainte commissariat vol incompétence total colere,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,"Incapables d'enregistrer mon changement d'adresse après plusieurs passages et que le conseiller m'ait affirmé avoir fait le nécéssaire ,pourtant il est très important que mes documents soient à la bonne adresse pour les démarches incommensurables et si compliquées pour préparer la retraite !!!!","11 Rue Pelée, 75011 Paris",incapable changement adresse passage conseiller nécéssaire pourtant important document bon adresse démarche incommensurable retraite,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"11 Rue Pelée, 75011 Paris"
1,"Le pire des Pôles Emploi, j'ai été en contact avec eux il y a quelques temps pour la société G4S. Autant il y a des agences efficaces que celle-ci est incompétente, peu fiable.","11 Rue Pelée, 75011 Paris",pire pôle emploi contact temps société autant agence efficace incompétent fiable,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"11 Rue Pelée, 75011 Paris"
1,"Plutot Pole non emploi. J'ai appelé pour des renseignements sur les stages et les alternances, mais les seuls reponsent que j'obtiens : ""je ne sais pas"", ""je n'ai pas accès a ça"". Merci pour le coup de main.","11 Rue Pelée, 75011 Paris",non emploi renseignement stage alternance accès coup main,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
5,"Accueil irréprochable, conseillers à l'écoute. Je recommande.","11 Rue Pelée, 75011 Paris",accueil irréprochable conseiller écoute,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
3,"J'ai étais très satisfaite , j'en suis tombé sur deux personnes très serviable. Chose qui est rare. Par contre pas de place de stationnement","11 Rue Pelée, 75011 Paris",tomber serviable chose contre place stationnement,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
3,Je suis actuellementJe suis actuellement mes droitsTu me permettait,"11 Rue Pelée, 75011 Paris",actuellementj actuellement droitstu,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,Tjr fermé 9h45 a 11h45 sinon vous allez jamais voir personne,"11 Rue Pelée, 75011 Paris",tjr fermé 9h45 jamais,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
5,"Super accueil, on y est bien et les gens sont très sympa, je recommande, hâte de revenir.","11 Rue Pelée, 75011 Paris",accueil bien sympa hâte,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
5,"Équipe serviable, sympathique, conseiller à l'écoute","11 Rue Pelée, 75011 Paris",équipe serviable sympathique écoute,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,"Aucune organisation. Aucune empathie , aucune compétence. Recrutement à revoir","11 Rue Pelée, 75011 Paris",aucun organisation aucun empathie aucun compétence recrutement,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,Incapables d'enregistrer mon changement d'adresse !,"11 Rue Pelée, 75011 Paris",incapable changement adresse,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
1,je cherche du travail plongeur,"11 Rue Pelée, 75011 Paris",travail plongeur,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
5,Très agréable,"11 Rue Pelée, 75011 Paris",agréable,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"11 Rue Pelée, 75011 Paris"
5,"Je suis passé ce matin suite à un rendez-vous manqué. Bâtiment dans un très bon état, extrêmement bien indiqué, pas 1 min de queue, mon problème a été réglé en 5 mins. Ravi de savoir qu’à Bayonne dispose d’un Pôle Emploi digne de ce nom.","42 Bd du BAB, 64100 Bayonne",matin suite rendez-vous bâtiment bon état extrêmement bien min queue problème minute ravi bayonne dispose pôle emploi digne nom,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"42 Bd du BAB, 64100 Bayonne"
5,"Le rendez vous a été agréable et pris a l'heure. La conseillère que j'ai rencontré a été très claire, aimable et efficace, je l'en remercie.","42 Bd du BAB, 64100 Bayonne",rendez agréable heure conseiller clair aimable efficace remercie,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"42 Bd du BAB, 64100 Bayonne"
1,"Bonjour.  Je viens de vivre une expérience fort désagréable lors de ma venue à l’agence de Bayonne ce matin. La personne m’ayant « reçue » a l’accueil a fait preuve d’un mépris et d’une attitude des plus hautaines à mon égard. Plutôt que de répondre simplement aux questions que je suis venue poser, il a préféré tenter de faire la morale comme un père de famille l’aurait faite à son fils suite à une bêtise commise de sa part… Comment une personne ayant un poste à caractère  d’assistance à la personne peut faire preuve de si peu d’empathie à l’égard d’autrui ?!  Bilan : je rentre chez moi sans avoir eu réponse à mes questions.  Monsieur, si vous vous reconnaissez, merci de vous regarder dans une glace demain matin avant d’aller travailler, cela vous permettra peut être de traiter les gens que vous aurez en face de manière plus civilisée. Je vous souhaite sincèrement ne jamais être de l’autre côté de votre comptoir et d’être traité de la même manière dont vous traitez vous même les personnes. La frustration personnelle et l’aigreur évidente qui vous rongent ne peuvent être soulagées sur vos clients.  Un bonjour, ou même un sourire n’ont jamais tué quelqu’un jusqu’à preuve du contraire.  A bon entendeur, bonne  journée.","42 Bd du BAB, 64100 Bayonne",bonjour expérience fort désagréable venue agence bayonne matin accueil preuve mépris attitude hautain égard simplement question morale père famille fils suite bêtise commise part poste caractère assistance preuve bilan réponse question Monsieur glace demain matin celer face manière civilisé jamais côté comptoir manière frustration personnel aigreur client bonjour sourire jamais quelqu’ jusqu’ preuve contraire bon entendeur bon journée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"42 Bd du BAB, 64100 Bayonne"
1,"Vendredi 15 juillet , 10h. Nous sommes une dizaine de personnes à attendre dehors. Agence fermée . Pont du 14 juillet ? Rien d’affiché !! Trop compliqué d’écrire 3 mots sur une feuille et de la colller sur la porte ? Bravo pour le bilan de vos compétences et merci pour le respect de ceux qui se sont déplacés.","42 Bd du BAB, 64100 Bayonne",vendredi juillet 10h dizaine agence fermé pont juillet rien afficher trop mot feuille colller porte bravo bilan compétence respect,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"42 Bd du BAB, 64100 Bayonne"
1,"Aux vu des nombreux commentaires négatif. C’est maintenant à mon tour ! Personne extrêmement hautaine et méprisante à l’accueil. Au lieu de répondre simplement à ma demande, elle préfère en premier temps faire des commentaires méprisant sur ma venu. Vous n’êtes ni Elon Musk, ni Jeff Bezos, vous êtes salarié, j’avais l’impression de discuter avec une multi milliardaire tellement son ego était important. Vous travaillez à Pôle Emploi, pas à l’entrée d’une boîte de nuit. A bon entendeur 😉 Je met ce commentaire avec un autre compte qui n’es pas mon vrai nom car ils seraient capable de me sanctionner j’en suis sûr 😂","42 Bd du BAB, 64100 Bayonne",commentaire négatif tour extrêmement hautain méprisant accueil lieu simplement demande temps commentaire méprisant venu elon musk jeff bezo salarier avai multi milliardaire ego important pôle emploi boîte nuit entendeur commentaire compte vrai nom capable sûr,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,"42 Bd du BAB, 64100 Bayonne"
1,"Premier contact : aucun contact. Le serveur vocal annonce 15mn d'attente, soit. 45mn plus tard, toujours aucun correspondant en ligne. Suite à un déménagement, j'ai du transféré mon dossier ici : c'est assez inquiétant pour un premier contact, et les commentaires en ligne ne sont pas plus rassurants.","42 Bd du BAB, 64100 Bayonne",contact aucun contact serveur vocal annonce 15mn attente 45mn tard aucun ligne suite déménagement transféré dossier ici contact commentaire ligne rassurant,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"42 Bd du BAB, 64100 Bayonne"
1,"Le monsieur à l'accueil aux cheveux gris n'était pas du tout agréable, heureusement que ses collègues au téléphone étaient plus conciliants...","42 Bd du BAB, 64100 Bayonne",Monsieur accueil cheveux gris agréable heureusement collègue téléphone conciliant ...,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"42 Bd du BAB, 64100 Bayonne"
